date,cases
2020-03-18,2
2020-03-20,2
2020-03-21,1
2020-03-22,1
2020-03-23,1
2020-03-24,1
2020-03-25,1
2020-03-26,1
2020-04-01,1
2020-04-02,2
2020-04-15,1
2020-04-24,1
2020-06-06,1
2020-07-17,1
2020-07-24,1
2020-08-03,1
2020-09-01,1
2020-09-16,1
2020-12-30,1
2020-12-31,1
2021-02-07,1
2021-02-16,1
2021-05-25,1
2021-06-23,1
2021-06-25,1
2021-06-26,1
2021-06-27,1
2021-06-30,1
2021-07-10,4
2021-07-11,1
2021-07-12,1
2021-07-14,1
2021-07-16,1
2021-07-19,1
2021-07-23,1
2021-08-04,1
2021-08-11,2
2021-08-12,2
2021-08-14,1
2021-08-16,1
2021-08-18,2
2021-08-20,2
2021-08-25,1
2021-08-26,3
2021-08-27,2
2021-08-28,1
2021-08-29,5
2021-08-30,2
2021-09-01,8
2021-09-02,4
2021-09-03,3
2021-09-04,6
2021-09-05,8
2021-09-06,4
2021-09-07,3
2021-09-08,7
2021-09-09,3
2021-09-10,9
2021-09-11,5
2021-09-12,1
2021-09-13,5
2021-09-14,8
2021-09-15,5
2021-09-16,3
2021-09-17,7
2021-09-18,7
2021-09-20,6
2021-09-21,4
2021-09-22,6
2021-09-23,2
2021-09-24,7
2021-09-25,8
2021-09-26,3
2021-09-27,7
2021-09-28,7
2021-09-29,4
2021-09-30,1
2021-10-01,2
2021-10-03,1
2021-10-07,1
2021-10-08,1
2021-10-09,2
2021-10-10,1
2021-10-11,1
2021-10-12,1
2021-10-13,4
2021-10-18,1
2021-10-20,4
2021-10-21,3
2021-10-24,1
2021-10-29,3
2021-11-01,1
2021-11-02,1
2021-11-05,1
2021-11-08,2
2021-11-09,1
2021-11-12,2
2021-11-21,1
2021-11-22,2
2021-11-24,2
2021-11-25,1
2021-11-27,1
2021-11-28,1
2021-11-30,1
2021-12-01,1
2021-12-02,3
2021-12-03,1
2021-12-04,2
2021-12-07,1
2021-12-08,1
2021-12-09,2
2021-12-10,3
2021-12-11,7
2021-12-12,4
2021-12-13,6
2021-12-14,10
2021-12-15,5
2021-12-16,9
2021-12-17,23
2021-12-18,30
2021-12-19,38
2021-12-20,60
2021-12-21,66
2021-12-22,94
2021-12-23,82
2021-12-24,96
2021-12-25,80
2021-12-26,74
2021-12-27,81
2021-12-28,92
2021-12-29,99
2021-12-30,229
2021-12-31,146
2022-01-01,140
2022-01-02,162
2022-01-03,240
2022-01-04,234
2022-01-05,391
2022-01-06,250
2022-01-07,322
2022-01-08,158
2022-01-09,230
2022-01-10,125
2022-01-11,159
2022-01-12,131
2022-01-13,109
2022-01-14,90
2022-01-15,61
2022-01-16,65
2022-01-17,57
2022-01-18,43
2022-01-19,36
2022-01-20,84
2022-01-21,52
2022-01-22,33
2022-01-23,42
2022-01-24,56
2022-01-25,35
2022-01-26,41
2022-01-27,31
2022-01-28,31
2022-01-29,36
2022-01-30,38
2022-01-31,35
2022-02-01,28
2022-02-02,27
2022-02-03,27
2022-02-04,19
2022-02-05,24
2022-02-06,20
2022-02-07,8
