date,cases
2020-03-20,1
2020-03-22,4
2020-03-23,2
2020-03-24,1
2020-03-26,1
2020-03-29,1
2020-03-30,2
2020-03-31,1
2020-04-01,1
2020-04-03,1
2020-07-31,1
2020-10-19,1
2020-10-26,3
2020-11-06,1
2020-11-18,1
2020-11-22,1
2020-12-29,2
2021-01-02,1
2021-04-30,2
2021-05-09,1
2021-07-22,1
2021-07-27,2
2021-07-28,3
2021-08-24,1
2021-08-25,2
2021-08-27,1
2021-08-28,1
2021-08-29,1
2021-08-31,5
2021-09-01,3
2021-09-03,3
2021-09-04,2
2021-09-05,2
2021-09-06,7
2021-09-07,4
2021-09-08,6
2021-09-09,5
2021-09-10,2
2021-09-11,3
2021-09-12,4
2021-09-13,5
2021-09-14,13
2021-09-15,4
2021-09-16,10
2021-09-17,19
2021-09-18,17
2021-09-19,12
2021-09-20,4
2021-09-21,9
2021-09-22,19
2021-09-23,19
2021-09-24,9
2021-09-25,15
2021-09-26,9
2021-09-27,13
2021-09-28,14
2021-09-29,14
2021-09-30,15
2021-10-01,8
2021-10-02,12
2021-10-03,11
2021-10-04,5
2021-10-05,6
2021-10-06,4
2021-10-07,5
2021-10-08,8
2021-10-09,1
2021-10-10,2
2021-10-11,4
2021-10-13,4
2021-10-14,1
2021-10-15,1
2021-10-16,1
2021-10-20,1
2021-10-23,1
2021-10-24,1
2021-10-27,1
2021-10-29,1
2021-10-30,1
2021-11-01,1
2021-11-02,1
2021-11-11,1
2021-11-12,1
2021-11-17,1
2021-11-19,1
2021-11-20,1
2021-11-21,1
2021-11-23,1
2021-11-25,1
2021-11-28,2
2021-11-29,3
2021-11-30,5
2021-12-01,9
2021-12-02,8
2021-12-04,3
2021-12-07,1
2021-12-08,5
2021-12-09,1
2021-12-10,2
2021-12-11,6
2021-12-12,1
2021-12-13,10
2021-12-14,6
2021-12-15,5
2021-12-16,7
2021-12-17,6
2021-12-18,3
2021-12-19,4
2021-12-20,9
2021-12-21,17
2021-12-22,44
2021-12-23,40
2021-12-24,43
2021-12-25,20
2021-12-26,18
2021-12-27,36
2021-12-28,34
2021-12-29,60
2021-12-30,78
2021-12-31,94
2022-01-01,29
2022-01-02,90
2022-01-03,122
2022-01-04,160
2022-01-05,204
2022-01-06,127
2022-01-07,177
2022-01-08,217
2022-01-09,124
2022-01-10,270
2022-01-11,141
2022-01-12,163
2022-01-13,248
2022-01-14,258
2022-01-15,245
2022-01-16,78
2022-01-17,152
2022-01-18,253
2022-01-19,171
2022-01-20,126
2022-01-21,118
2022-01-22,78
2022-01-23,69
2022-01-24,90
2022-01-25,114
2022-01-26,52
2022-01-27,93
2022-01-28,59
2022-01-29,53
2022-01-30,47
2022-01-31,52
2022-02-01,69
2022-02-02,46
2022-02-03,60
2022-02-04,43
2022-02-05,33
2022-02-06,33
2022-02-07,37
